Temperature_C,Appliances_Used,Time_of_Day,Previous_Usage_kWh,Current_Consumption_kWh
24.7,8,Morning,5.64,7.36
35.1,9,Afternoon,7.56,9.17
31.2,4,Evening,5.91,7.81
28.8,2,Night,7.49,6.46
20.8,5,Morning,7.1,6.55
20.8,3,Afternoon,4.7,5.17
19.0,9,Evening,2.57,7.45
33.6,5,Night,4.22,6.62
28.8,3,Morning,6.01,5.65
30.7,7,Afternoon,6.0,7.75
18.4,7,Evening,5.55,7.92
35.5,5,Night,3.65,5.81
33.0,7,Morning,5.37,8.64
21.8,3,Afternoon,4.3,5.43
21.3,3,Evening,7.83,7.09
21.3,5,Night,7.09,6.07
23.5,9,Morning,6.33,7.83
27.4,8,Afternoon,3.42,7.13
25.8,10,Evening,3.54,7.86
23.2,9,Night,2.24,6.86
29.0,6,Morning,6.26,7.4
20.5,3,Afternoon,2.67,4.81
23.3,6,Evening,4.64,7.96
24.6,9,Night,3.21,6.27
26.2,10,Morning,7.37,8.63
32.1,10,Afternoon,4.85,9.17
21.6,2,Evening,5.38,6.28
27.3,10,Night,6.17,8.5
28.7,8,Morning,2.84,6.85
18.8,10,Afternoon,5.63,8.07
28.9,9,Evening,5.24,9.94
21.1,2,Night,3.22,4.49
19.2,9,Morning,7.66,7.04
35.1,9,Afternoon,5.59,9.78
35.4,4,Evening,6.17,9.36
32.6,2,Night,7.28,6.91
23.5,9,Morning,5.75,7.75
19.8,4,Afternoon,3.77,5.19
30.3,4,Evening,2.63,7.07
25.9,2,Night,4.74,4.65
