Applicant_ID,Income,Credit_Score,Loan_Amount,Age,Employment_Type,Existing_Loan,Loan_Status
1,105810,557,126225,38,Salaried,Yes,Approved
2,118530,552,809570,55,Salaried,No,Approved
3,25905,547,329258,35,Salaried,Yes,Rejected
4,76987,612,571029,58,Self-employed,Yes,Rejected
5,113506,716,456778,38,Salaried,Yes,Approved
6,35396,547,498382,27,Self-employed,No,Rejected
7,56671,522,865179,50,Salaried,No,Rejected
8,94357,650,969693,60,Self-employed,Yes,Rejected
9,28006,838,338968,39,Salaried,Yes,Rejected
10,71823,642,575435,44,Salaried,No,Approved
11,49460,843,379946,25,Salaried,Yes,Approved
12,82589,694,383060,56,Salaried,No,Approved
13,52021,516,944151,41,Self-employed,No,Rejected
14,49653,790,852787,41,Salaried,No,Approved
15,106259,734,249811,37,Salaried,Yes,Approved
16,92644,634,883300,58,Self-employed,No,Approved
17,50746,570,634277,52,Salaried,Yes,Rejected
18,42033,821,267753,48,Salaried,No,Approved
19,100104,739,654816,37,Salaried,Yes,Approved
20,56973,828,456699,28,Self-employed,No,Approved
21,81470,501,857168,37,Salaried,Yes,Rejected
22,105748,759,738551,33,Salaried,No,Approved
23,92697,771,100599,59,Self-employed,No,Approved
24,36662,685,972064,40,Salaried,Yes,Rejected
25,96364,540,189814,52,Salaried,Yes,Approved
26,108474,743,676510,31,Self-employed,No,Approved
27,92686,602,847581,40,Self-employed,No,Approved
28,89839,731,226882,36,Salaried,Yes,Approved
29,24757,801,680828,35,Salaried,Yes,Rejected
30,114778,823,161733,35,Salaried,Yes,Approved
31,31287,763,349565,38,Self-employed,Yes,Rejected
32,39342,792,704201,51,Salaried,No,Approved
33,46957,548,201639,48,Self-employed,No,Approved
34,83213,527,806073,27,Salaried,No,Approved
35,36322,627,300896,33,Self-employed,Yes,Rejected
36,46050,642,585100,36,Salaried,No,Approved
37,34833,525,783823,55,Salaried,Yes,Rejected
38,43798,708,609231,51,Salaried,No,Approved
39,43579,694,102260,45,Self-employed,No,Approved
40,77444,784,794022,52,Salaried,Yes,Approved
41,50534,529,707314,55,Salaried,No,Rejected
42,28572,799,599948,53,Salaried,Yes,Approved
43,32500,595,171849,59,Salaried,Yes,Rejected
44,37713,791,358175,58,Salaried,Yes,Approved
45,108163,798,692683,54,Self-employed,No,Approved
46,109782,660,350280,37,Self-employed,Yes,Approved
47,81929,661,888387,25,Salaried,No,Approved
48,95792,551,176819,55,Salaried,No,Approved
49,67745,535,356150,44,Self-employed,Yes,Rejected
50,93200,654,741390,54,Salaried,No,Approved
51,39601,635,221035,27,Salaried,No,Approved
52,101276,607,852470,42,Salaried,No,Approved
53,86032,628,987204,24,Salaried,No,Approved
54,27778,501,449759,29,Self-employed,Yes,Rejected
55,94309,718,688153,21,Salaried,Yes,Approved
56,93511,518,975136,44,Salaried,No,Approved
57,27482,657,482364,23,Self-employed,Yes,Rejected
58,109416,552,470858,56,Self-employed,Yes,Rejected
59,43299,590,532322,22,Salaried,No,Rejected
60,109806,627,379766,31,Salaried,No,Approved
61,83694,613,309267,50,Self-employed,No,Approved
62,51219,512,792094,33,Self-employed,No,Rejected
63,31099,642,468203,53,Self-employed,No,Rejected
64,37118,633,287241,58,Self-employed,Yes,Rejected
65,100193,722,462479,41,Self-employed,Yes,Approved
66,97574,597,367095,23,Self-employed,Yes,Rejected
67,92575,843,306606,44,Self-employed,Yes,Approved
68,103678,660,795612,28,Self-employed,No,Approved
69,64753,706,831076,39,Salaried,Yes,Approved
70,109153,694,810219,32,Self-employed,No,Approved
71,22053,655,400850,34,Self-employed,No,Rejected
72,79905,726,808446,34,Self-employed,Yes,Rejected
73,59196,763,796101,60,Self-employed,Yes,Approved
74,110184,658,335552,33,Salaried,Yes,Approved
75,54092,743,740967,25,Self-employed,No,Approved
76,47485,696,618392,46,Salaried,Yes,Rejected
77,35970,717,329471,32,Self-employed,Yes,Approved
78,54662,562,578634,29,Self-employed,No,Rejected
79,102301,758,547470,56,Self-employed,Yes,Approved
80,80991,632,888295,36,Self-employed,No,Approved
81,57992,725,181247,39,Salaried,No,Approved
82,63904,776,184491,29,Salaried,Yes,Approved
83,112957,578,840734,34,Salaried,No,Approved
84,65369,777,588557,47,Salaried,Yes,Approved
85,73049,799,829308,22,Self-employed,No,Approved
86,68105,652,890075,45,Self-employed,Yes,Rejected
87,50760,639,557007,52,Salaried,No,Approved
88,109670,847,936912,46,Salaried,No,Approved
89,103560,773,128276,46,Salaried,Yes,Approved
90,39786,736,290556,24,Self-employed,No,Approved
91,49742,732,442722,42,Self-employed,No,Approved
92,55065,541,593152,22,Salaried,No,Rejected
93,107215,535,919182,23,Salaried,Yes,Rejected
94,24671,818,259784,36,Salaried,No,Approved
95,95920,611,587623,37,Self-employed,Yes,Approved
96,101593,558,915573,31,Self-employed,Yes,Approved
97,25365,659,703766,45,Self-employed,Yes,Rejected
98,99607,821,354646,27,Self-employed,Yes,Approved
99,27383,677,658623,48,Self-employed,Yes,Rejected
100,106874,674,113266,47,Self-employed,Yes,Approved
