Order_ID,Date,Product,Category,City,Quantity,Unit_Price,Sales,Profit
1001,2026-01-02,Laptop,Electronics,Bangalore,2,55000,110000,12000
1002,2026-01-04,Mouse,Electronics,Tumkur,5,800,4000,800
1003,2026-01-05,Keyboard,Electronics,Mysore,3,1500,4500,900
1004,2026-01-07,Chair,Furniture,Bangalore,4,4500,18000,3600
1005,2026-01-09,Table,Furniture,Tumkur,2,7000,14000,2800
1006,2026-01-11,Monitor,Electronics,Mysore,2,12000,24000,4800
1007,2026-01-13,Pen,Stationery,Bangalore,20,20,400,80
1008,2026-01-15,Notebook,Stationery,Tumkur,15,80,1200,240
1009,2026-01-17,Laptop,Electronics,Mysore,1,55000,55000,6000
1010,2026-01-18,Chair,Furniture,Bangalore,3,4500,13500,2700
1011,2026-01-20,Mouse,Electronics,Tumkur,8,800,6400,1280
1012,2026-01-22,Keyboard,Electronics,Bangalore,4,1500,6000,1200
1013,2026-01-24,Table,Furniture,Mysore,1,7000,7000,1400
1014,2026-01-25,Monitor,Electronics,Tumkur,3,12000,36000,7200
1015,2026-01-27,Notebook,Stationery,Bangalore,25,80,2000,400
1016,2026-01-29,Pen,Stationery,Mysore,30,20,600,120
1017,2026-02-01,Laptop,Electronics,Bangalore,2,55000,110000,15000
1018,2026-02-03,Chair,Furniture,Tumkur,5,4500,22500,4500
1019,2026-02-05,Mouse,Electronics,Mysore,6,800,4800,960
1020,2026-02-07,Table,Furniture,Bangalore,2,7000,14000,2800
1021,2026-02-09,Monitor,Electronics,Mysore,2,12000,24000,4800
1022,2026-02-11,Notebook,Stationery,Tumkur,10,80,800,160
1023,2026-02-13,Keyboard,Electronics,Bangalore,3,1500,4500,900
1024,2026-02-15,Laptop,Electronics,Tumkur,10,55000,550000,55000
1025,2026-02-17,Chair,Furniture,Mysore,4,4500,18000,3600
